Date,Close
1,6.4575
2,6.163571
3,6.198571
4,5.451786
5,3.937857
6,3.384643
7,3.392857
8,3.166429
9,3.457857
10,3.31
11,4.293571
12,4.6275
13,4.998214
14,5.083571
15,5.815357
16,6.148571
17,6.814643
18,7.258929
19,6.9525
20,7.503929
21,7.095357
22,8.053572
23,8.653214
24,9.161428
25,9.053928
26,9.188929
27,8.935357
